	dataset_config: {'path': '/home/fr27/Documents/pyscript/wisdm/dataset/arff_files/phone/accel/all.csv', 'path_test': '/home/fr27/Documents/pyscript/wisdm/dataset/arff_files/phone/accel/all.csv', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [507, 360, 376, 531, 540, 334, 49, 663, 784, 73, 775, 881, 239, 885, 363, 18, 587, 161, 801, 322, 713, 657, 867, 331, 829, 492, 820, 280, 516, 263, 581, 19, 307, 504, 12, 578, 439, 553, 674, 125, 777, 366, 146, 650, 345, 741, 39, 238, 255, 114, 384, 380, 446, 185, 547, 430, 861, 253, 768, 661, 744, 814, 692, 576, 358, 697, 508, 252, 392, 189, 413, 449, 288, 20, 535, 476, 295, 271, 812, 103, 262, 794, 291, 266, 522, 817, 529, 591, 670, 479, 802, 172, 274, 383, 217, 884, 237, 405, 267, 583, 682, 173, 798, 687, 498, 93, 43, 272, 82, 546, 425, 355, 254, 445, 590, 608, 727, 222, 121, 580, 32, 216, 548, 696, 422, 759, 268, 34, 159, 597, 361, 596, 317, 319, 462, 460, 328, 455, 261, 489, 269, 207, 155, 746, 247, 416, 402, 561, 638, 203, 128, 378, 275, 631, 795, 143, 233, 734, 810, 64, 6, 499, 286, 501, 859, 609, 98, 543, 166, 7, 311, 450, 469, 497, 673, 435, 151, 601, 232, 340, 886, 651, 74, 348, 766, 382, 8, 150, 544, 373, 564, 693, 92, 823, 375, 227, 174, 111, 212, 847, 664, 144, 808, 367, 201, 315, 875, 567, 760, 370, 200, 815, 388, 13, 586, 52, 745, 259, 838, 574, 99, 622, 563, 751, 701, 573, 168, 220, 454, 105, 584, 344, 604, 448, 35, 844, 495, 362, 303, 306, 195, 842, 265, 368, 428, 410, 656, 623, 241, 675, 243, 364, 457, 681, 11, 831, 520, 872, 716, 770, 725, 637, 209, 117, 541, 301, 780, 211, 28, 202, 466, 369, 505, 695, 485, 624, 387, 555, 133, 635, 432, 108, 431, 118, 491, 297, 100, 527, 16, 472, 659, 299, 642, 47, 4, 513, 44, 809, 519, 165, 229, 183, 517, 824, 551, 589, 68, 235, 811, 724, 848, 110, 163, 276, 423, 461, 135, 318, 126, 379, 41, 739, 764, 2, 210, 441, 329, 684, 270, 264, 618, 676, 849, 178, 30, 76, 613, 156, 473, 888, 603, 115, 403, 96, 101, 440, 779, 91, 702, 790, 634, 863, 86, 447, 459, 260, 157, 336, 3, 400, 478, 196, 621, 390, 855, 123, 585, 653, 686, 598, 756, 194, 562, 753, 14, 654, 256, 391, 25, 97, 407, 349, 533, 752, 354, 611, 865, 414, 60, 856, 106, 537, 246, 806, 51, 512, 411, 147, 84, 819, 712, 816, 748, 292, 175, 880, 582, 800, 700, 359, 398, 284, 230, 338, 837, 772, 141, 509, 490, 470, 871, 442, 538, 524, 458, 722, 312, 545, 862, 45, 721, 731, 152, 177, 434, 330, 736, 740, 683, 357, 294, 42, 652, 742, 705, 480, 197, 199, 787, 215, 614, 324, 77, 717, 532, 309, 506, 500, 75, 714, 711, 90, 539, 134, 892, 827, 415, 870, 57, 758, 761, 59, 630, 822, 627, 487, 602, 737, 593, 213, 67, 122, 839, 728, 83, 102, 528, 21, 858, 132, 465, 421, 85, 298, 248, 308, 665, 337, 333, 273, 167, 37, 579, 451, 521, 690, 424, 632, 218, 649, 145, 655, 169, 401, 0, 616, 290, 807, 493, 488, 646, 671, 691, 566, 718, 730, 160, 658, 258, 321, 715, 55, 149, 29, 377, 219, 868, 154, 648, 835, 225, 404, 463, 774, 71, 443, 782, 757, 339, 832, 773, 399, 694, 234, 72, 372, 610, 732, 640, 600, 56, 720, 594, 119, 226, 526, 323, 341, 783, 750, 464, 5, 679, 304, 327, 666, 191, 89, 326, 140, 554, 453, 181, 570, 87, 568, 786, 23, 536, 158, 799, 641, 394, 186, 316, 860, 251, 678, 190, 698, 672, 874, 170, 797, 129, 749, 342, 743, 198, 385, 803, 1, 381, 136, 38, 843, 688, 245, 719, 289, 883, 386, 9, 599, 184, 46, 530, 164, 325, 27, 10, 62, 805, 426, 33, 142, 549, 293, 58, 343, 351, 69, 854, 278, 879, 703, 374, 510, 153, 781, 876, 352, 31, 124, 767, 668, 733, 869, 615, 791, 417, 104, 475, 148, 830, 813, 662, 771, 130, 24, 878, 94, 793, 427, 188, 575, 406, 754, 452, 412, 557, 474, 864, 113, 723, 833, 796, 314, 607, 523, 109, 302, 471, 680, 605, 138, 223, 556, 625, 397, 277, 127, 639, 726, 891, 192, 320, 626, 137, 588, 708, 821, 231, 873, 852, 15, 242, 50, 228, 182, 171, 70, 180, 792, 647, 514, 636, 620, 565, 257, 214, 669, 482, 738, 300, 244, 26, 365, 572, 735, 515, 887, 550, 834, 436, 54, 866, 429, 305, 628, 486, 877, 65, 179, 644, 433, 710, 617, 571, 778, 204, 456, 310, 395, 389, 518, 81, 221, 467, 755, 353, 335, 629, 511, 287, 836, 776, 882, 296, 569, 80, 845, 88, 559, 826, 53, 769, 704, 283, 477, 542, 893, 503, 496, 285, 437, 79, 890, 249, 788, 857, 481, 419, 762, 677, 409, 667, 162, 660, 853, 205, 139, 78, 279, 347, 208, 689, 502, 619, 851, 112, 418, 592, 350, 116, 707, 224, 483, 785, 846, 420, 818, 825, 765, 282, 747, 346, 63, 107, 66, 560, 850, 494, 468, 17, 408, 552, 332, 789, 281, 595, 393, 828, 841, 840, 534, 240, 438, 371, 729, 131, 120, 633, 48, 22, 577, 706, 193, 444, 804, 606, 699, 250, 356, 643, 525, 396, 709, 187, 313, 484, 40, 61, 176, 206, 645, 236, 558, 889, 763, 685, 36, 612, 95]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=91, out_features=1000, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.4s | Train: skip eval | Valid: time=  0.2s loss=2.786, TAw acc= 36.6% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.300, TAw acc= 56.3% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.946, TAw acc= 64.8% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.680, TAw acc= 68.3% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.458, TAw acc= 69.7% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.294, TAw acc= 75.4% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.161, TAw acc= 79.6% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.052, TAw acc= 80.3% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.959, TAw acc= 81.0% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.879, TAw acc= 81.0% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.809, TAw acc= 83.8% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.749, TAw acc= 85.9% | *
| Epoch  13, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.695, TAw acc= 85.9% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.649, TAw acc= 88.0% | *
| Epoch  15, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.610, TAw acc= 89.4% | *
| Epoch  16, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.576, TAw acc= 88.7% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.545, TAw acc= 90.1% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.517, TAw acc= 92.3% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.494, TAw acc= 91.5% | *
| Epoch  20, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.472, TAw acc= 90.8% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.454, TAw acc= 91.5% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.437, TAw acc= 91.5% | *
| Epoch  23, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.422, TAw acc= 91.5% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.408, TAw acc= 91.5% | *
| Epoch  25, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.397, TAw acc= 90.8% | *
| Epoch  26, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.386, TAw acc= 91.5% | *
| Epoch  27, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.374, TAw acc= 91.5% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.365, TAw acc= 90.8% | *
| Epoch  29, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.356, TAw acc= 91.5% | *
| Epoch  30, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.348, TAw acc= 91.5% | *
| Epoch  31, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.342, TAw acc= 91.5% | *
| Epoch  32, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.335, TAw acc= 91.5% | *
| Epoch  33, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.330, TAw acc= 91.5% | *
| Epoch  34, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.325, TAw acc= 90.8% | *
| Epoch  35, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.319, TAw acc= 91.5% | *
| Epoch  36, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.314, TAw acc= 91.5% | *
| Epoch  37, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.309, TAw acc= 91.5% | *
| Epoch  38, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.304, TAw acc= 91.5% | *
| Epoch  39, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.299, TAw acc= 91.5% | *
| Epoch  40, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.296, TAw acc= 90.8% | *
| Epoch  41, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.292, TAw acc= 90.8% | *
| Epoch  42, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.289, TAw acc= 91.5% | *
| Epoch  43, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.287, TAw acc= 91.5% | *
| Epoch  44, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.284, TAw acc= 91.5% | *
| Epoch  45, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.280, TAw acc= 90.8% | *
| Epoch  46, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.276, TAw acc= 91.5% | *
| Epoch  47, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.274, TAw acc= 92.3% | *
| Epoch  48, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.271, TAw acc= 91.5% | *
| Epoch  49, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.270, TAw acc= 91.5% | *
| Epoch  50, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.269, TAw acc= 91.5% | *
| Epoch  51, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.266, TAw acc= 91.5% | *
| Epoch  52, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.264, TAw acc= 90.8% | *
| Epoch  53, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.261, TAw acc= 90.8% | *
| Epoch  54, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=0.260, TAw acc= 91.5% | *
