2022-12-16 10:04:37,648 INFO    MainThread:4002688 [wandb_setup.py:_flush():68] Configure stats pid to 4002688
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_setup.py:_flush():68] Loading settings from /home/fr27/.config/wandb/settings
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_setup.py:_flush():68] Loading settings from /home/fr27/Documents/pyscript/wandb/settings
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'wbtest.py', 'program': 'wbtest.py'}
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_init.py:_log_setup():476] Logging user logs to /home/fr27/Documents/pyscript/wandb/run-20221216_100437-2d2tu2n0/logs/debug.log
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_init.py:_log_setup():477] Logging internal logs to /home/fr27/Documents/pyscript/wandb/run-20221216_100437-2d2tu2n0/logs/debug-internal.log
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_init.py:init():516] calling init triggers
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_init.py:init():569] starting backend
2022-12-16 10:04:37,649 INFO    MainThread:4002688 [wandb_init.py:init():573] setting up manager
2022-12-16 10:04:37,650 INFO    MainThread:4002688 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-16 10:04:37,651 INFO    MainThread:4002688 [wandb_init.py:init():580] backend started and connected
2022-12-16 10:04:37,652 INFO    MainThread:4002688 [wandb_init.py:init():658] updated telemetry
2022-12-16 10:04:37,652 INFO    MainThread:4002688 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-16 10:04:38,975 INFO    MainThread:4002688 [wandb_run.py:_on_init():2000] communicating current version
2022-12-16 10:04:39,038 INFO    MainThread:4002688 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-12-16 10:04:39,039 INFO    MainThread:4002688 [wandb_init.py:init():728] starting run threads in backend
2022-12-16 10:04:39,210 INFO    MainThread:4002688 [wandb_run.py:_console_start():1980] atexit reg
2022-12-16 10:04:39,210 INFO    MainThread:4002688 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-16 10:04:39,211 INFO    MainThread:4002688 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-16 10:04:39,211 INFO    MainThread:4002688 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-16 10:04:39,211 INFO    MainThread:4002688 [wandb_init.py:init():765] run started, returning control to user process
2022-12-16 10:04:39,218 INFO    MainThread:4002688 [wandb_run.py:_finish():1746] finishing run frahman/wbtest/2d2tu2n0
2022-12-16 10:04:39,218 INFO    MainThread:4002688 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-12-16 10:04:39,218 INFO    MainThread:4002688 [wandb_run.py:_restore():1932] restore
2022-12-16 10:04:39,218 INFO    MainThread:4002688 [wandb_run.py:_restore():1938] restore done
2022-12-16 10:04:42,453 INFO    MainThread:4002688 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-12-16 10:04:42,453 INFO    MainThread:4002688 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-12-16 10:04:42,455 INFO    MainThread:4002688 [wandb_run.py:_footer_sync_info():3333] logging synced files
